id,session_id,event_time_ms,screen_id,dwell_ms,hora_sessao,dia_semana,timestamp,presence_detect,perfil_usuario
1,1,2733,INICIO,3674,15,Saturday,2025-11-01 15:08:49,1,engajado
2,1,6730,CATALOGO,12463,15,Saturday,2025-11-01 15:08:53,1,engajado
3,1,19909,INICIO,4686,15,Saturday,2025-11-01 15:09:06,1,engajado
4,1,25253,CATALOGO,17498,15,Saturday,2025-11-01 15:09:12,1,engajado
5,1,43310,PROMOCOES,9124,15,Saturday,2025-11-01 15:09:30,1,engajado
6,1,52697,CATALOGO,11574,15,Saturday,2025-11-01 15:09:39,1,engajado
7,1,64719,PROMOCOES,10101,15,Saturday,2025-11-01 15:09:51,1,engajado
8,1,75024,INICIO,6486,15,Saturday,2025-11-01 15:10:02,1,engajado
9,1,81709,CATALOGO,10254,15,Saturday,2025-11-01 15:10:08,1,engajado
10,2,1981,INICIO,3651,19,Sunday,2025-11-30 19:18:54,1,curioso
11,2,5803,INICIO,3114,19,Sunday,2025-11-30 19:18:58,1,curioso
12,2,9098,PROMOCOES,6227,19,Sunday,2025-11-30 19:19:02,1,curioso
13,2,15528,CATALOGO,2462,19,Sunday,2025-11-30 19:19:08,1,curioso
14,2,18256,PROMOCOES,5820,19,Sunday,2025-11-30 19:19:11,1,curioso
15,2,24390,CATALOGO,5869,19,Sunday,2025-11-30 19:19:17,1,curioso
16,2,30432,PROMOCOES,2828,19,Sunday,2025-11-30 19:19:23,1,curioso
17,2,33535,CATALOGO,7090,19,Sunday,2025-11-30 19:19:26,1,curioso
18,2,41001,PROMOCOES,6669,19,Sunday,2025-11-30 19:19:34,1,curioso
19,2,48425,CATALOGO,7420,19,Sunday,2025-11-30 19:19:41,1,curioso
20,3,1370,INICIO,2021,14,Monday,2025-11-10 14:58:37,1,passante
21,3,3896,PROMOCOES,2223,14,Monday,2025-11-10 14:58:39,1,passante
22,3,6361,INICIO,1239,14,Monday,2025-11-10 14:58:42,1,passante
23,3,8274,CATALOGO,2980,14,Monday,2025-11-10 14:58:44,1,passante
24,3,11951,INICIO,865,14,Monday,2025-11-10 14:58:47,1,passante
25,4,2229,INICIO,894,21,Saturday,2025-11-15 21:07:11,1,passante
26,4,3702,CATALOGO,3891,21,Saturday,2025-11-15 21:07:12,1,passante
27,4,8259,PROMOCOES,3774,21,Saturday,2025-11-15 21:07:17,1,passante
28,4,12831,CATALOGO,3115,21,Saturday,2025-11-15 21:07:21,1,passante
29,5,1578,INICIO,3089,14,Sunday,2025-11-09 14:46:57,0,curioso
30,5,4875,PROMOCOES,3219,14,Sunday,2025-11-09 14:47:00,0,curioso
31,5,8499,CATALOGO,5336,14,Sunday,2025-11-09 14:47:04,0,curioso
32,5,14317,PROMOCOES,4951,14,Sunday,2025-11-09 14:47:10,0,curioso
33,5,19920,PROMOCOES,7967,14,Sunday,2025-11-09 14:47:15,0,curioso
34,5,28600,CATALOGO,4378,14,Sunday,2025-11-09 14:47:24,0,curioso
35,5,33097,INICIO,1106,14,Sunday,2025-11-09 14:47:29,0,curioso
36,5,34617,CATALOGO,12509,14,Sunday,2025-11-09 14:47:30,0,curioso
37,5,47472,PROMOCOES,5599,14,Sunday,2025-11-09 14:47:43,0,curioso
38,5,53668,CATALOGO,6653,14,Sunday,2025-11-09 14:47:49,0,curioso
39,6,1367,INICIO,1530,16,Saturday,2025-11-15 16:33:56,0,passante
40,6,3316,CATALOGO,1470,16,Saturday,2025-11-15 16:33:58,0,passante
41,6,5573,PROMOCOES,1606,16,Saturday,2025-11-15 16:34:00,0,passante
42,6,7402,INICIO,1774,16,Saturday,2025-11-15 16:34:02,0,passante
43,6,9341,CATALOGO,2385,16,Saturday,2025-11-15 16:34:04,0,passante
44,6,12051,INICIO,1271,16,Saturday,2025-11-15 16:34:07,0,passante
45,7,1377,INICIO,1293,19,Saturday,2025-11-01 19:15:18,1,passante
46,7,3360,CATALOGO,959,19,Saturday,2025-11-01 19:15:20,1,passante
47,7,4903,PROMOCOES,2632,19,Saturday,2025-11-01 19:15:21,1,passante
48,7,8076,INICIO,1752,19,Saturday,2025-11-01 19:15:25,1,passante
49,7,10348,CATALOGO,2803,19,Saturday,2025-11-01 19:15:27,1,passante
50,7,13912,INICIO,610,19,Saturday,2025-11-01 19:15:30,1,passante
51,8,1251,INICIO,4004,20,Tuesday,2025-11-04 20:28:09,1,engajado
52,8,5808,PROMOCOES,15798,20,Tuesday,2025-11-04 20:28:13,1,engajado
53,8,22269,INICIO,2920,20,Tuesday,2025-11-04 20:28:30,1,engajado
54,8,25304,PROMOCOES,5943,20,Tuesday,2025-11-04 20:28:33,1,engajado
55,8,31589,CATALOGO,9237,20,Tuesday,2025-11-04 20:28:39,1,engajado
56,8,41336,PROMOCOES,9187,20,Tuesday,2025-11-04 20:28:49,1,engajado
57,8,50791,CATALOGO,15126,20,Tuesday,2025-11-04 20:28:58,1,engajado
58,8,66482,PROMOCOES,8782,20,Tuesday,2025-11-04 20:29:14,1,engajado
59,8,75933,CATALOGO,9413,20,Tuesday,2025-11-04 20:29:23,1,engajado
60,8,85668,PROMOCOES,9162,20,Tuesday,2025-11-04 20:29:33,1,engajado
61,8,95523,CATALOGO,15218,20,Tuesday,2025-11-04 20:29:43,1,engajado
62,8,110892,PROMOCOES,9972,20,Tuesday,2025-11-04 20:29:58,1,engajado
63,8,121478,PROMOCOES,7992,20,Tuesday,2025-11-04 20:30:09,1,engajado
64,8,130090,INICIO,3900,20,Tuesday,2025-11-04 20:30:18,1,engajado
65,9,835,INICIO,868,14,Thursday,2025-11-27 14:37:38,1,passante
66,9,2070,CATALOGO,2389,14,Thursday,2025-11-27 14:37:40,1,passante
67,9,4880,INICIO,789,14,Thursday,2025-11-27 14:37:42,1,passante
68,10,2702,INICIO,2727,19,Saturday,2025-11-29 19:36:08,1,comparador
69,10,5800,CATALOGO,9229,19,Saturday,2025-11-29 19:36:11,1,comparador
70,10,15379,PROMOCOES,8920,19,Saturday,2025-11-29 19:36:21,1,comparador
71,10,24560,CATALOGO,7137,19,Saturday,2025-11-29 19:36:30,1,comparador
72,10,32466,PROMOCOES,7316,19,Saturday,2025-11-29 19:36:38,1,comparador
73,10,40565,CATALOGO,8423,19,Saturday,2025-11-29 19:36:46,1,comparador
74,10,49225,PROMOCOES,12215,19,Saturday,2025-11-29 19:36:55,1,comparador
75,10,61649,CATALOGO,11593,19,Saturday,2025-11-29 19:37:07,1,comparador
76,10,73557,PROMOCOES,10022,19,Saturday,2025-11-29 19:37:19,1,comparador
77,10,83887,CATALOGO,12502,19,Saturday,2025-11-29 19:37:29,1,comparador
78,10,96746,PROMOCOES,5158,19,Saturday,2025-11-29 19:37:42,1,comparador
79,11,2309,INICIO,2874,15,Sunday,2025-11-09 15:40:18,1,curioso
80,11,5360,PROMOCOES,5091,15,Sunday,2025-11-09 15:40:21,1,curioso
81,11,10703,CATALOGO,8674,15,Sunday,2025-11-09 15:40:26,1,curioso
82,11,19628,PROMOCOES,3290,15,Sunday,2025-11-09 15:40:35,1,curioso
83,11,23060,CATALOGO,10590,15,Sunday,2025-11-09 15:40:39,1,curioso
84,11,33790,PROMOCOES,3413,15,Sunday,2025-11-09 15:40:49,1,curioso
85,12,1469,INICIO,6706,17,Tuesday,2025-11-11 17:39:48,1,engajado
86,12,8697,INICIO,3592,17,Tuesday,2025-11-11 17:39:55,1,engajado
87,12,12729,PROMOCOES,5203,17,Tuesday,2025-11-11 17:39:59,1,engajado
88,12,18286,CATALOGO,15136,17,Tuesday,2025-11-11 17:40:05,1,engajado
89,12,33632,PROMOCOES,12284,17,Tuesday,2025-11-11 17:40:20,1,engajado
90,12,46220,CATALOGO,13087,17,Tuesday,2025-11-11 17:40:33,1,engajado
91,12,59878,PROMOCOES,11605,17,Tuesday,2025-11-11 17:40:46,1,engajado
92,12,71811,INICIO,1255,17,Tuesday,2025-11-11 17:40:58,1,engajado
93,12,73363,CATALOGO,11728,17,Tuesday,2025-11-11 17:41:00,1,engajado
94,12,85476,PROMOCOES,10119,17,Tuesday,2025-11-11 17:41:12,1,engajado
95,13,2878,INICIO,1962,9,Sunday,2025-11-16 09:56:18,0,comparador
96,13,5384,CATALOGO,11668,9,Sunday,2025-11-16 09:56:21,0,comparador
97,13,17473,PROMOCOES,9480,9,Sunday,2025-11-16 09:56:33,0,comparador
98,13,27643,CATALOGO,9828,9,Sunday,2025-11-16 09:56:43,0,comparador
99,13,37616,PROMOCOES,14837,9,Sunday,2025-11-16 09:56:53,0,comparador
100,13,53104,CATALOGO,10084,9,Sunday,2025-11-16 09:57:09,0,comparador
101,13,63974,PROMOCOES,1355,9,Sunday,2025-11-16 09:57:19,0,comparador
102,13,65767,CATALOGO,13571,9,Sunday,2025-11-16 09:57:21,0,comparador
103,13,80117,PROMOCOES,7521,9,Sunday,2025-11-16 09:57:36,0,comparador
104,13,88054,CATALOGO,7095,9,Sunday,2025-11-16 09:57:44,0,comparador
105,13,95583,PROMOCOES,7557,9,Sunday,2025-11-16 09:57:51,0,comparador
106,13,103670,CATALOGO,11751,9,Sunday,2025-11-16 09:57:59,0,comparador
107,14,1675,INICIO,2243,20,Wednesday,2025-11-19 20:53:01,1,comparador
108,14,4347,CATALOGO,5338,20,Wednesday,2025-11-19 20:53:04,1,comparador
109,14,10237,PROMOCOES,2682,20,Wednesday,2025-11-19 20:53:10,1,comparador
110,14,13192,CATALOGO,9563,20,Wednesday,2025-11-19 20:53:13,1,comparador
111,14,23145,PROMOCOES,6181,20,Wednesday,2025-11-19 20:53:23,1,comparador
112,14,29666,CATALOGO,7654,20,Wednesday,2025-11-19 20:53:29,1,comparador
113,14,37650,PROMOCOES,8554,20,Wednesday,2025-11-19 20:53:37,1,comparador
114,14,46790,CATALOGO,10860,20,Wednesday,2025-11-19 20:53:46,1,comparador
115,14,57824,PROMOCOES,10965,20,Wednesday,2025-11-19 20:53:57,1,comparador
116,14,69282,CATALOGO,6993,20,Wednesday,2025-11-19 20:54:09,1,comparador
117,14,76624,PROMOCOES,5579,20,Wednesday,2025-11-19 20:54:16,1,comparador
118,14,82412,CATALOGO,3166,20,Wednesday,2025-11-19 20:54:22,1,comparador
119,14,85902,PROMOCOES,11498,20,Wednesday,2025-11-19 20:54:25,1,comparador
120,14,97551,CATALOGO,8896,20,Wednesday,2025-11-19 20:54:37,1,comparador
121,15,2567,INICIO,5358,17,Friday,2025-11-21 17:20:50,1,engajado
122,15,8187,CATALOGO,9598,17,Friday,2025-11-21 17:20:56,1,engajado
123,15,18371,PROMOCOES,9064,17,Friday,2025-11-21 17:21:06,1,engajado
124,15,27818,CATALOGO,4344,17,Friday,2025-11-21 17:21:15,1,engajado
125,15,32795,PROMOCOES,9218,17,Friday,2025-11-21 17:21:20,1,engajado
126,15,42405,CATALOGO,16296,17,Friday,2025-11-21 17:21:30,1,engajado
127,15,59144,PROMOCOES,7414,17,Friday,2025-11-21 17:21:47,1,engajado
128,15,66894,CATALOGO,11455,17,Friday,2025-11-21 17:21:54,1,engajado
129,15,78605,PROMOCOES,11823,17,Friday,2025-11-21 17:22:06,1,engajado
130,15,91083,CATALOGO,13607,17,Friday,2025-11-21 17:22:19,1,engajado
131,15,104853,CATALOGO,4393,17,Friday,2025-11-21 17:22:32,1,engajado
132,15,109944,PROMOCOES,12129,17,Friday,2025-11-21 17:22:37,1,engajado
133,15,122193,CATALOGO,12382,17,Friday,2025-11-21 17:22:50,1,engajado
134,15,134681,PROMOCOES,6078,17,Friday,2025-11-21 17:23:02,1,engajado
135,15,141164,CATALOGO,17995,17,Friday,2025-11-21 17:23:09,1,engajado
136,16,2489,INICIO,1042,15,Tuesday,2025-11-25 15:14:19,1,engajado
137,16,3975,CATALOGO,13912,15,Tuesday,2025-11-25 15:14:20,1,engajado
138,16,18465,PROMOCOES,4403,15,Tuesday,2025-11-25 15:14:35,1,engajado
139,16,23605,CATALOGO,16465,15,Tuesday,2025-11-25 15:14:40,1,engajado
140,16,40848,INICIO,2891,15,Tuesday,2025-11-25 15:14:57,1,engajado
141,16,44497,CATALOGO,13697,15,Tuesday,2025-11-25 15:15:01,1,engajado
142,16,58560,PROMOCOES,7589,15,Tuesday,2025-11-25 15:15:15,1,engajado
143,16,66465,CATALOGO,7699,15,Tuesday,2025-11-25 15:15:23,1,engajado
144,16,74548,PROMOCOES,14263,15,Tuesday,2025-11-25 15:15:31,1,engajado
145,16,89342,CATALOGO,12688,15,Tuesday,2025-11-25 15:15:46,1,engajado
146,16,102682,INICIO,4146,15,Tuesday,2025-11-25 15:15:59,1,engajado
147,16,107286,CATALOGO,21125,15,Tuesday,2025-11-25 15:16:04,1,engajado
148,16,128552,PROMOCOES,12148,15,Tuesday,2025-11-25 15:16:25,1,engajado
149,16,141053,CATALOGO,14281,15,Tuesday,2025-11-25 15:16:38,1,engajado
150,17,2981,INICIO,1544,16,Saturday,2025-11-29 16:49:25,1,passante
151,17,4742,PROMOCOES,2856,16,Saturday,2025-11-29 16:49:27,1,passante
152,17,8290,INICIO,1943,16,Saturday,2025-11-29 16:49:31,1,passante
153,17,10652,CATALOGO,3812,16,Saturday,2025-11-29 16:49:33,1,passante
154,18,2818,INICIO,3205,15,Thursday,2025-11-20 15:54:45,1,engajado
155,18,6478,CATALOGO,11202,15,Thursday,2025-11-20 15:54:49,1,engajado
156,18,18443,PROMOCOES,8036,15,Thursday,2025-11-20 15:55:01,1,engajado
157,18,27009,CATALOGO,20022,15,Thursday,2025-11-20 15:55:10,1,engajado
158,18,47781,PROMOCOES,13700,15,Thursday,2025-11-20 15:55:30,1,engajado
159,18,62051,CATALOGO,6019,15,Thursday,2025-11-20 15:55:45,1,engajado
160,18,68836,PROMOCOES,10924,15,Thursday,2025-11-20 15:55:51,1,engajado
161,18,80411,CATALOGO,4704,15,Thursday,2025-11-20 15:56:03,1,engajado
162,18,85821,PROMOCOES,10227,15,Thursday,2025-11-20 15:56:08,1,engajado
163,19,1877,INICIO,1725,19,Thursday,2025-11-27 19:36:40,1,passante
164,19,3919,CATALOGO,2489,19,Thursday,2025-11-27 19:36:42,1,passante
